,Title,Years,CAGR,Min. Amount,Risk,Free?,Description,Links,Manager
0,All Weather Investing,4,11.37,5571,Low Volatility,True,One investment for all market conditions. Works for everyone,/smallcase/all-weather-investing-SCAW_0001, Windmill Capital
1,Top 100 Stocks,4,15.43,2183,Med. Volatility,True,India's most powerful companies in one portfolio. Solid stability,/smallcase/top-100-stocks-SCET_0004, Windmill Capital
2,Dividend Aristocrats,6,22.49,41792,Med. Volatility,True,Companies that have been consistently increasing dividends. Extra goodness,/smallcase/dividend-aristocrats-SCMO_0014, Windmill Capital
3,Equity & Gold,4,16.45,283,Low Volatility,True,"Create wealth with equities, stay protected with Gold. The sweet spot",/smallcase/equity-and-gold-SCET_0005, Windmill Capital
4,CANSLIM-esque,5,24.54,40000,Med. Volatility,False,"Efficiently managed growing companies experiencing positive momentum, screened using CANSLIM methodology",/smallcase/canslim-esque-SCMO_0029, Windmill Capital
5,Green Energy,1,85.41,54548,High Volatility,False,"A portfolio of stocks, which will get benefit from the RE sector development. Rec amount > 1 lac",/smallcase/green-energy-portfolio-NIVTR_0001, Niveshaay
6,Rising Rural Demand,6,15.8,55972,Med. Volatility,True,Companies that stand to benefit from increasing rural consumption,/smallcase/rising-rural-demand-SCNM_0012, Windmill Capital
7,Speciality Chemicals,6,19.23,84100,Med. Volatility,False,Companies producing sophisticated chemicals for specific purposes. The dark horse,/smallcase/speciality-chemicals-SCNM_0019, Windmill Capital
8,Wright ⚡️ Momentum,2,60.71,60142,High Volatility,False,Momentum investing! Invest in trending stocks.  Rec Amt: > 1 lac,/smallcase/wright-momentum-WRTNM_0001, Wright Research
9,Value & Momentum,6,23.26,16645,High Volatility,False,Positive momentum stocks available at a discount to their peers,/smallcase/value-and-momentum-SCMO_0010, Windmill Capital
10,High Quality Right Price,2,67.77,22548,High Volatility,False,"Invest in stocks that will benefit from Aatma Nirbhar Bharat theme! (Rec amt 5-10 lakhs)
",/smallcase/%22high-quality-right-price%22-multibagger-portfolio-GPRMO_0003, Green Portfolio
11,Dividend Stars,6,22.44,36883,Med. Volatility,False,High dividend yield companies with a track record of not cutting dividends,/smallcase/dividend-stars-SCMO_0013, Windmill Capital
12,IT Tracker,6,22.04,64816,Med. Volatility,True,Companies to efficiently track and invest in the IT sector,/smallcase/it-tracker-SCTR_0006, Windmill Capital
13,Mid and Small Cap Focused Portfolio,3,49.05,23324,Med. Volatility,False,This portfolio contains mid and small cap size companies available at reasonable valuations with strong market hold.,/smallcase/mid-and-small-cap-focused-portfolio-NIVMO_0001, Niveshaay
14,Pharma Tracker,6,10.7,32743,Med. Volatility,True,Companies to efficiently track and invest in the pharma sector,/smallcase/pharma-tracker-SCTR_0009, Windmill Capital
15,TAARE ZAMEEN PAR,2,66.99,1143,Low Volatility,False,"STAYVAN introduces (1st time in India), Upfront + Sip strategy for investing directly in stocks.  ",/smallcase/taare-zameen-par-the-stayvan-sip-way-SYVMO_0003, Stayvan
16,The PE List,6,17.39,45625,Med. Volatility,True,Companies in which PE and VC firms have high shareholding,/smallcase/the-pe-list-SCMO_0024, Windmill Capital
17,The Great Indian Middle Class,6,17.95,88176,Med. Volatility,True,Companies focused on the growing middle class. Running India's consumption engine,/smallcase/the-great-indian-middle-class-SCNM_0010, Windmill Capital
18,Listed Venture Capital,3,50.5,43753,Low Volatility,False,Venture Capital style investments into small listed companies with quality governance board & quality earnings poised to grow,/smallcase/listed-venture-capital-LTDMO_0001, Lotusdew Wealth
19,Brand Value,6,18.12,64501,Med. Volatility,False,Companies that own India's everyday brands. Top consumer favorites,/smallcase/brand-value-SCNM_0007, Windmill Capital
20,Mi_MT_Allcap ,4,35.39,85512,Low Volatility,False,20 stocks popular momentum all cap portfolio | Universe Mktcap > 1000 cr | Recommended size 5-15L,/smallcase/mi_mt_allcap-WKIMO_0004, Weekend Investing
21,Growth & Income,6,19.9,41185,Med. Volatility,True,Efficiently managed dividend paying companies screened using Kevin Matras' criteria,/smallcase/growth-and-income-SCMO_0026, Windmill Capital
22,The Naked Trader,6,18.94,42621,Med. Volatility,True,Low-debt companies showing healthy growth. Criteria set by top trader Robbie Burns,/smallcase/the-naked-trader-SCMO_0016, Windmill Capital
23,Quality - Smart Beta,4,10.6,60198,Med. Volatility,False,Established companies that have stood the test of time. Timeless classics,/smallcase/quality-smart-beta-SCSB_0004, Windmill Capital
24,Insurance Tracker,5,2.1,5094,Med. Volatility,True,Companies to efficiently track and invest in the insurance sector,/smallcase/insurance-tracker-SCTR_0011, Windmill Capital
25,Capitalmind Momentum,3,32.21,70598,Low Volatility,False,Up to 25 stocks selected based on sharpe ratios and liquidity. Maximum investable up to 20L. ,/smallcase/capitalmind-momentum-CMMO_0001, Capitalmind
26,Electric Mobility,5,5.83,106832,Med. Volatility,True,Companies driving India's transition to electric vehicles. Transport's new era,/smallcase/electric-mobility-SCNM_0025, Windmill Capital
27,MWM (MysticWealth Momentum),2,44.14,201985,Low Volatility,False,An Automated Momentum Model Portfolio of 20 stocks. Recommended size (2-20 lakhs) ,/smallcase/mwm-(mysticwealth-momentum)-MWMO_0002, Mystic Wealth
28,Safe Haven,6,16.27,30309,Med. Volatility,True,"Low beta stocks that are rated ‘BUY’, to help protect against market volatility",/smallcase/safe-haven-SCMO_0015, Windmill Capital
29,Cyclical Bets Smallcase,1,54.06,50000,Low Volatility,False,This smallcase focusses on cyclical sectors which have staged a turnaround and expected to do well.,/smallcase/cyclical-bets-portfolio-AURMO_0001, Aurum
30,Horizon 2055,2,11.81,8635,Low Volatility,True,Optimizes investment value for goals to be achieved in 2055,/smallcase/retirement-2055-SCET_0021, Windmill Capital
31,Horizon 2050,2,10.86,5063,Low Volatility,True,Optimizes investment value for goals to be achieved in 2050,/smallcase/retirement-2050-SCET_0020, Windmill Capital
32,Horizon 2045,2,9.92,3443,Low Volatility,True,Optimizes investment value for goals to be achieved in 2045,/smallcase/retirement-2045-SCET_0019, Windmill Capital
33,Horizon 2040,2,8.97,2826,Low Volatility,True,Optimizes investment value for goals to be achieved in 2040 ,/smallcase/retirement-2040-SCET_0018, Windmill Capital
34,Horizon 2035,2,8.04,2301,Low Volatility,True,Optimizes investment value for goals to be achieved in 2035 ,/smallcase/retirement-2035-SCET_0017, Windmill Capital
35,Horizon 2030,2,7.11,8823,Low Volatility,True,Optimizes investment value for goals to be achieved in 2030 ,/smallcase/retirement-2030-SCET_0016, Windmill Capital
36,Top 250 Stocks,1,16.43,1188,Med. Volatility,True,Stability of large caps combined with growth potential of mid caps,/smallcase/top-250-stocks-SCET_0015, Windmill Capital
37,House of Tata,1,44.12,90508,Low Volatility,True,"Companies part of Tata group, a global enterprise with stellar reputation & legacy of 150+ years",/smallcase/house-of-tata-SCTR_0014, Windmill Capital
38,Growth at a Fair Price,6,13.93,4526,High Volatility,False,High growth companies that are available at fair valuations ,/smallcase/growth-at-a-fair-price-SCMO_0003, Windmill Capital
39,Realty Tracker,6,23.58,10615,High Volatility,True,Companies to efficiently track and invest in the realty sector,/smallcase/realty-tracker-SCTR_0010, Windmill Capital
40,NG5050  Momentum,2,11.93,373,Low Volatility,True,A FREE long term monthly rebalanced 50 50 portfolio of Gold and Nifty ETF CAGR>10%,/smallcase/ng5050-portfolio-WKIET_0001, Weekend Investing
41,Mi_NNF10  Momentum,2,35.77,45504,High Volatility,False,10 stock Rotational Momentum Monthly rebalance. NNF50 index. Recommended size 3-15Lacs ,/smallcase/mi_nnf10-WKIMO_0009, Weekend Investing
42,Digital Inclusion,6,15.46,18282,High Volatility,True,Companies spearheading and benefitting from the digital revolution in India,/smallcase/digital-inclusion-SCNM_0014, Windmill Capital
43,Teji Mandi Flagship,2,36.38,23257,High Volatility,False,Concentrated portfolio of 15-20 stocks that blends short term tactical bets with long term winners,/smallcase/teji-mandi-TJPMO_0001, Teji Mandi
44,ARQ Prime ,6,29.2,41589,Med. Volatility,True,15 stock portfolio selected based on multi factor model and quantitative analytics ,/smallcase/arq-prime-by-angel-broking-AGBMO_0012, Angel One
45,Equity & Debt,1,10.4,3064,Low Volatility,True,A unique 2-in-1 portfolio of equity & debt suitable for low risk wealth creation,/smallcase/equity-and-debt-SCET_0013, Windmill Capital
46,Quality Smallcap - Smart Beta,2,33.15,32433,High Volatility,False,Quality smallcap stocks with positive momentum trends,/smallcase/quality-smallcap-smart-beta-SCMO_0041, Windmill Capital
47,Banking Tracker,6,10.35,11972,High Volatility,True,Companies to efficiently track and invest in the banking sector,/smallcase/banking-tracker-SCTR_0002, Windmill Capital
48,Low Risk - Smart Beta,4,12.45,70915,Low Volatility,False,A low volatile portfolio that aims for high returns. Passive investing with a twist,/smallcase/low-risk-smart-beta-SCSB_0003, Windmill Capital
49,High Dividend Yield and Capital Appreciation,2,55.44,36911,High Volatility,False,"Invest in High Dividend Yield and Growth Stocks (Rec amt 5-10 lakhs)
",/smallcase/high-dividend-yield-+-capital-appreciation-GPRMO_0004, Green Portfolio
50,Pickright Emerging Bluechip,1,17.2,550,Med. Volatility,True,Invest in Top 250 companies in India as per their market capitalization via ETFs. LC 50% + MC 50%,/smallcase/india's-top-250-PKRET_0001, Pickright
51,FMCG Tracker,6,12.99,37606,Med. Volatility,True,Companies to efficiently track and invest in the FMCG sector ,/smallcase/fmcg-tracker-SCTR_0004, Windmill Capital
52,House of HDFC,1,-12.5,10108,Low Volatility,True,"Companies part of HDFC group, a large conglomerate with businesses in the financial services sector",/smallcase/house-of-hdfc-SCTR_0015, Windmill Capital
53,Multiplier,1,51.04,35960,High Volatility,False,Concentrated portfolio of small and midcap stocks that are likely to show non-linear growth.,/smallcase/multiplier-TJPMO_0003, Teji Mandi
54,Mi_ST_ATH,3,40.04,76141,Low Volatility,False,10 stock Momentum portfolio on All Time High stocks : Recommended size 5-15L,/smallcase/mi_st_ath-WKIMO_0007, Weekend Investing
55,Mi20,1,13.81,68832,High Volatility,False,20 stock Rotational Momentum Portfolio on Mid and Small cap stocks. Recommended size 1-5L. ,/smallcase/mi20-WKIMO_0017, Weekend Investing
56,Smallcap Compounders,1,43.03,15478,High Volatility,False,"Invest in SmallCap stocks which can generate multifold returns (Rec amt 5-10 lakhs)
",/smallcase/smallcap-super-compounder-stocks-GPRMO_0006, Green Portfolio
57,Mr. Market,2,28.2,833,Med. Volatility,False,Investing in India's Top 100 Companies based on Market Capitalization through ETFs-Nifty 50 and Next Nifty 50 in Nippon.,/smallcase/mr.-market-JNMET_0001, Jainam
58,Metal Tracker,6,14.7,9533,High Volatility,True,Companies to efficiently track and invest in the metal sector,/smallcase/metal-tracker-SCTR_0008, Windmill Capital
59,Mi25 Smallcap,2,46.57,116592,High Volatility,False,25 stock Momentum Portfolio on Small cap stocks. Recommended size 5-15L,/smallcase/mi25-WKIMO_0008, Weekend Investing
60,Energy Tracker,6,13.37,25215,Med. Volatility,True,Companies to efficiently track and invest in the energy sector,/smallcase/energy-tracker-SCTR_0003, Windmill Capital
61,Mi ATH2,1,-14.66,36539,High Volatility,False,10 stock concentrated high risk portfolio chasing all time highs in stocks >500 cr mkt cap.,/smallcase/mi-ath2-WKIMO_0018, Weekend Investing
62,Infra Tracker,6,13.27,28757,Med. Volatility,True,Companies to efficiently track and invest in the infrastructure sector,/smallcase/infra-tracker-SCTR_0005, Windmill Capital
63,SmartNIFTY Index,2,37.15,59164,Med. Volatility,False,"Invest in the top 12-15 NIFTY stocks to ensure outperformance (Rec amt 10-15 lakhs)
",/smallcase/best-nifty-(bluechip)-companies-%22hqrp-philosophy%22-GPRET_0002, Green Portfolio
64,Banking Privately,6,10.59,26145,High Volatility,True,Profitable NBFCs and private banks with low NPAs that are giving PSU banks a run for their money,/smallcase/banking-privately-SCNM_0008, Windmill Capital
65,Wright 🌱 Smallcaps ,2,32.42,43252,Low Volatility,False,Choice smallcaps to participate in the high growth smallcap rally.  Rec Amt: 1-20 lac,/smallcase/wright-smallcaps-satellite-portfolio-WRTMO_0007, Wright Research
66,Transporting India,6,10.25,59777,Med. Volatility,True,Rapidly growing logistics companies that are fueled by GDP revival and e-commerce growth,/smallcase/transporting-india-SCNM_0001, Windmill Capital
67,Flagship multi-factor strategy,1,50.64,159922,High Volatility,False,Using the power of Data Science to find undervalued companies which are  unlikely to reduce in price,/smallcase/flagship-multi-factor-fund-TOLMO_0001, Tolani Investments
68,Wright 💡 Innovation [AUM Based],1,33.12,54352,High Volatility,False,"Invest in Disruptive Innovation : Electric Mobility, Biotech, Ecommerce, Digital Revolution, Fintech",/smallcase/wright-innovation-WRTNM_0002, Wright Research
69,Mi35,1,7.68,187056,High Volatility,False,up to 35 stock Momentum Portfolio on Small cap stocks. Rec size 3.5-15L. ,/smallcase/mi35-WKIMO_0016, Weekend Investing
70,Gulaq Gear 6,2,64.65,24000,High Volatility,False,Growth oriented concentrated portfolio for Aggressive investors (100% Equity) with investment <2.5L ,/smallcase/estee-long-alpha-lite-(gear-4)-ESTMO_0001, Estee
71,Affordable Housing,5,11.47,40433,Med. Volatility,True,Companies participating in and benefiting from affordable housing projects ,/smallcase/affordable-housing-SCNM_0024, Windmill Capital
72,Straight Flush,6,12.47,31319,Med. Volatility,False,Quality stocks showing consistent earnings growth,/smallcase/straight-flush-SCMO_0007, Windmill Capital
73,Auto Tracker,6,8.6,43072,Med. Volatility,True,Companies to efficiently track and invest in the auto sector,/smallcase/auto-tracker-SCTR_0001, Windmill Capital
74,Multi National Companies (MNC) Advantage,1,29.35,36968,High Volatility,False,Invest in the best MNC's following our High-Quality Right Price philosophy (Rec amt 5-10 lakhs),/smallcase/best-multi-national-companies-(new)-GPRNM_0001, Green Portfolio
75,TQ_Minions,1,35.27,31659,High Volatility,False,"Non-Discretionary strategy to identify high momentum stocks from Midcap150, Smallcap250+Microcap250",/smallcase/tq_minions-TUQAMO_0006, TurtleQuants
76,Mi50,1,20.89,220701,Low Volatility,False,50 stock Momentum Portfolio on Small and Mid cap stocks. Recommended size 10-25L ,/smallcase/mi50-WKIMO_0011, Weekend Investing
77,Pocket Money Investing ,2,34.31,31715,High Volatility,False,"Now, anyone can BUY SHARES! Ideal for intelligent, small basket/SIP Investing ",/smallcase/pocket-money-investing-EHANM_0003, Ethical Advisers
78,GALAXY,1,15.13,11587,High Volatility,True,"The portfolio is a galaxy of fundamentally strong stocks with huge growth potential.

",/smallcase/galaxy-LAMMO_0004, LaMoksh
79,"Penny-stocks basket-1 (NSE,BSE stocks)",1,33.61,1432,Low Volatility,False,This portfolio is suitable for aggressive investors who can take high risk for high returns.,/smallcase/penny-stocks-basket-1-(nsebse-stocks)-SUSHMO_0002, SUMAN SHANDIL
80,High Performing MidCaps ,2,85.31,34950,High Volatility,False,High performing momentum stocks from MidCaps,/smallcase/high-performing-midcaps-STGMO_0005, Streetgains Research
81,Zero Debt,5,8.94,36258,Med. Volatility,True,"Zero debt, high ROE companies with an established track record of high earnings growth",/smallcase/zero-debt-SCMO_0027, Windmill Capital
82,Best-of-TATAs | LongTerm | Growth | Momentum,1,23.67,9798,High Volatility,False,Best-of-TATAs Portfolio based on Momentum and Growth indicators. Combination of Large and Mid-cap,/smallcase/best-of-tatas-or-longterm-or-growth-or-momentum-WEEMNM_0002, Wealthemoji LLP
83,House of Bajaj,1,17.38,50662,Low Volatility,True,"Companies part of Bajaj group, with footprint across a range of sectors",/smallcase/house-of-bajaj-SCTR_0013, Windmill Capital
84,Shariah - Power of 3 ETFs,1,10.64,5000,Med. Volatility,False,3 Shariah-compliant ETFs ,/smallcase/shariah-power-of-3-etfs-SNGET_0001, SenSage
85,Wright ⚡️Momentum [AUM based Fee],1,42.38,60142,High Volatility,False,"Momentum investing! Invest in trending stocks.

[Fee calculated as a % of AUM]  Rec Amt > 1 lac",/smallcase/wright-momentum-aum-based-fee-WRTMO_0008, Wright Research
86,Omni Capital Enablers,2,47.74,100000,High Volatility,False,Capital providers and enablers for large infrastructure development,/smallcase/omni-capital-enablers-OMNNM_0003, Omniscience Capital
87,The Resilient Pack  ,2,39.25,97287,Low Volatility,False,"An actively managed basket of resilient names, which tend to outperform a volatile market. ",/smallcase/the-resilient-pack-EHANM_0001, Ethical Advisers
88,Emerging Dominators plus (ED+) ,2,51.58,200000,High Volatility,False,Generate alpha equity returns by investing in 12 potential multi-bagger stocks.,/smallcase/emerging-dozen-plus-(ed+)-by-piper-serica-PSRNM_0002, Piper Serica
89,Enhancing Value,1,32.55,64856,High Volatility,False,The goal is to provide long-term capital appreciation by investing in a portfolio of upto 30 stocks.,/smallcase/enhancing-value-PREMO_0001, Prudent Equity
90,Omni Bharat Defence,2,33.47,17203,High Volatility,False,Defend Bharat with an attacking portfolio,/smallcase/omni-bharat-defence-OMNNM_0002, Omniscience Capital
91,Three Wise Kings Portfolio,1,38.19,4002,High Volatility,False,Active + Passive. One King (ETF) would be NIFTYBEES. Two kings (stocks) selected as per research.,/smallcase/three-wise-kings-portfolio-SOLMO_0002, Solomon Investments 
92,21G Trend Rider,2,45.69,86360,High Volatility,False,"""Pack of volatile stocks"" which generate substantial returns in the short-term period.",/smallcase/21g-trend-rider-TGIMO_0005, 21G Investments 
93,Metal Revival ,2,52.89,43279,High Volatility,False,"As global demand returns, the metal sector is likely to outperform broad indices. ",/smallcase/metal-revival-EHATR_0001, Ethical Advisers
94,Omni Supertrons – SuperNormal SmallCap SIP,2,30.57,50000,High Volatility,False,SIP portfolio of undiscovered SmallCap companies in their accelerating growth phase,/smallcase/omni-supertrons-supernormal-smallcap-sip-OMNMO_0004, Omniscience Capital
95,The Wisdom ETF Portfolio,2,25.29,1332,Low Volatility,False,The wisdom ETF portfolio revolves around making wise asset allocation bets in promising exchange traded funds listed on NSE,/smallcase/the-wisdom-etf-portfolio-SOLET_0001, Solomon Investments 
96,Dividend - Smart Beta,4,11.83,114882,Med. Volatility,False,Companies increasing their dividends on a consistent basis,/smallcase/dividend-smart-beta-SCSB_0001, Windmill Capital
97,Omni Knights – SuperNormal MidCap SIP,2,48.22,50000,High Volatility,False,SIP portfolio of emerging leaders in their aggressive growth phase,/smallcase/omni-knights-supernormal-midcap-sip-OMNMO_0003, Omniscience Capital
98,Punctilious One Value Multicap,2,72.09,35125,High Volatility,False,Long term value investing oriented multicap portfolio recommendations,/smallcase/punctilious-one-value-multicap-MADMO_0002, Punctilious One
99,TQ Prime AllCap,1,36.51,24497,High Volatility,False,Non-discretionary strategy that runs on Nifty500+microcap 250 index stocks. ,/smallcase/tq_prime15-TUQAMO_0004, TurtleQuants
